ID parc.;Nome parceiro;CNPJ;Vendedor;Material;Texto breve do produto;Quantidade;UM;Endereço;Cidade;Rg;CEP;Data doc.;Nº NF;   Líquido;       Bruto;Un.;Valor total
2910752;Lanchonete Araguaia Ltda;07.842.061/0001-45;501;12155337;BATON Bastao Duo 32(30x16g) XW;1;EXB;Av Tancredo Neves 1125, Sala 01;Sorriso;MT;78890-000;01.04.2020;61304;0,48;0,502;KG;16,53
2910752;Lanchonete Araguaia Ltda;07.842.061/0001-45;501;12365150;GAROTO Bisc Rech Choc 70x130g BR;5;UNI;Av Tancredo Neves 1125, Sala 01;Sorriso;MT;78890-000;01.04.2020;61305;0,65;0,6575;KG;9,56
5200967;Paraiso Bar Conveniencia EIRELI ME;24.021.510/0001-03;502;11322004;GAROTO Pastilha Hortela 24(40x17g) XW;3;EXB;Avenida Natalino Joao 1375, Sala 01;Sorriso;MT;78890-000;01.04.2020;61306;2,04;2,1348;KG;63,15
953979;Sorriso Supermercados Ltda;14.953.277/0001-43;501;11320042;GAROTO Cacau em Po 20x200g XW;20;UNI;Av Natalino Joao Brescansin 220;Sorriso;MT;78890-000;01.04.2020;61307;4;4,8;KG;272,86
953979;Sorriso Supermercados Ltda;14.953.277/0001-43;501;12347059;TALENTO Tab Rech Cookies 8(12x90g) XW;8;EXB;Av Natalino Joao Brescansin 220;Sorriso;MT;78890-000;01.04.2020;61308;8,64;9,04;KG;393,93
953979;Sorriso Supermercados Ltda;14.953.277/0001-43;501;12380835;TALENTO TabRechCremedeAvela 8(12x90g) XW;8;EXB;Av Natalino Joao Brescansin 220;Sorriso;MT;78890-000;01.04.2020;61308;8,64;9,04;KG;393,93
953979;Sorriso Supermercados Ltda;14.953.277/0001-43;501;12396885;GAROTO Tablete Cores 4(14x90)g XW;168;UNI;Av Natalino Joao Brescansin 220;Sorriso;MT;78890-000;01.04.2020;61308;15,12;15,4896;KG;621,97
953979;Sorriso Supermercados Ltda;14.953.277/0001-43;501;12396887;GAROTO Tablete Cstn Caju 4(14x90g) XW;168;UNI;Av Natalino Joao Brescansin 220;Sorriso;MT;78890-000;01.04.2020;61308;15,12;15,4896;KG;621,97
953979;Sorriso Supermercados Ltda;14.953.277/0001-43;501;12396888;GAROTO Tablete Choc aoLeite 4(14x90g) XW;168;UNI;Av Natalino Joao Brescansin 220;Sorriso;MT;78890-000;01.04.2020;61308;15,12;15,4896;KG;621,97
2912320;Sorrinorte Supermercado Ltda ME;02.756.536/0001-67;501;11320331;BATON Bastao Choc Branco 32(30x16g)XW;2;EXB;Rua Tangara 549;Sorriso;MT;78890-000;01.04.2020;61309;0,96;1,00432;KG;45,81
2912320;Sorrinorte Supermercado Ltda ME;02.756.536/0001-67;501;11320367;BATON Bastao Choc Leite 32(30x16g)XW;2;EXB;Rua Tangara 549;Sorriso;MT;78890-000;01.04.2020;61309;0,96;1,004;KG;45,81
2912320;Sorrinorte Supermercado Ltda ME;02.756.536/0001-67;501;12155337;BATON Bastao Duo 32(30x16g) XW;2;EXB;Rua Tangara 549;Sorriso;MT;78890-000;01.04.2020;61309;0,96;1,004;KG;45,81
2912320;Sorrinorte Supermercado Ltda ME;02.756.536/0001-67;501;12273955;BATON Bastao Recheado Leite 32(30x16g)XW;2;EXB;Rua Tangara 549;Sorriso;MT;78890-000;01.04.2020;61309;0,96;1,004;KG;45,81
2912320;Sorrinorte Supermercado Ltda ME;02.756.536/0001-67;501;12311892;TALENTO Tab Leite Avelas 8(12x90g) XW;1;EXB;Rua Tangara 549;Sorriso;MT;78890-000;01.04.2020;61309;1,08;1,13;KG;55,67
2912320;Sorrinorte Supermercado Ltda ME;02.756.536/0001-67;501;12313896;BATON Bastao Rech Morango 32(30x16g) BR;2;EXB;Rua Tangara 549;Sorriso;MT;78890-000;01.04.2020;61309;0,96;1,004;KG;45,81
4159741;Supermercado TW Ltda ME;12.602.416/0001-69;502;12396923;GAROTO TabChocLeite CajuPas 4(14x90g)XW;14;UNI;Rua Poxoreu 07;Sorriso;MT;78890-000;01.04.2020;61310;1,26;1,2908;KG;58,85
4159741;Supermercado TW Ltda ME;12.602.416/0001-69;502;12396921;GAROTO Tab Choc Meio Amargo 4(14x90g) XW;14;UNI;Rua Poxoreu 07;Sorriso;MT;78890-000;01.04.2020;61310;1,26;1,2908;KG;58,85
4159741;Supermercado TW Ltda ME;12.602.416/0001-69;502;12396920;OPERETA TabChocBco CstnCaju 4(14x90)g XW;14;UNI;Rua Poxoreu 07;Sorriso;MT;78890-000;01.04.2020;61310;1,26;1,2908;KG;58,85
