ID parc.;Nome parceiro;CNPJ;Vendedor;Material;Texto breve do produto;Quantidade;UM;Endereço;Cidade;Rg;CEP;Data doc.;Nº NF;    Líquido;      Bruto;Un.;Valor total
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;12277350;TALENTO Tablete Meio Amargo 18(15x25g)BR;1;EXB;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;0,375;0,395;KG;18,09
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;12248828;BATON Bastao Choc Branco 12(10x64g) BR;1;EXB;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;0,64;0,708;KG;29,04
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;12239753;TALENTO Tablete Meio Amargo 8(12x90g) BR;1;EXB;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;1,08;1,13;KG;46,67
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;11320209;TALENTO Tab Leite Avelas 18(15x25g) XW;1;EXB;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;0,375;0,395;KG;18,09
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;11320199;TALENTO Tab Choc Bco Cer 18(15x25g) XW;1;EXB;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;0,375;0,395276;KG;18,09
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;11320197;TALENTO Tab Leite Amen Pas 18(15x25g) XW;1;EXB;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;0,375;0,395;KG;18,09
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;11320183;GAROTO IT COCO Cdy Bar Coco 8(30x30g) XW;1;EXB;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;0,9;0,94102;KG;32,56
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;11320040;GAROTO Chocolate em Po 20x200g XI;5;UNI;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;1;1,2;KG;46,9
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;12282740;TALENTO ChocBrancoDocedeLeite8(12x90g)BR;1;EXB;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;1,08;1,13;KG;46,67
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;12285127;TALENTO Tab Choc Branco Cer 8(12x90g) XW;1;EXB;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;1,08;1,13;KG;46,67
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;12311892;TALENTO Tab Leite Avelas 8(12x90g) XW;1;EXB;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;1,08;1,13;KG;46,67
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;12427650;GAROTO Tablete Pop 4(14x90)g XW;14;UNI;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;1,26;1,2908;KG;49,13
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;12416237;SERENATA DE AMOR Wafer Cstn 10x825g XW;10;UNI;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;8,25;8,25;KG;237,8
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;12396920;OPERETA TabChocBco CstnCaju 4(14x90)g XW;14;UNI;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;1,26;1,2908;KG;49,13
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;12396888;GAROTO Tablete Choc aoLeite 4(14x90g) XW;14;UNI;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;1,26;1,2908;KG;49,13
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;12396887;GAROTO Tablete Cstn Caju 4(14x90g) XW;14;UNI;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;1,26;1,2908;KG;49,13
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;12396633;GAROTO Tab Choc Branco Bisc 4(14x90g) XW;14;UNI;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;1,26;1,2908;KG;49,13
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;12380835;TALENTO TabRechCremedeAvela 8(12x90g) XW;1;EXB;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;1,08;1,13;KG;46,67
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;12368981;BATON Extra Milk 12(10x64g) XW;1;EXB;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;0,64;0,708;KG;29,04
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;12347059;TALENTO Tab Rech Cookies 8(12x90g) XW;1;EXB;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;1,08;1,13;KG;46,67
2802281;Coml Novo Estado Generos Alim Ltda;37.478.591/0001-17;533;12347058;TALENTO Tab Rech Maracuja 8(12x90g) XW;1;EXB;Avenida Prefeito Valdir Masuti 3253;Comodoro;MT;78310-000;01.05.2020;64533;1,08;1,13;KG;46,67
