ID parc.;Nome parceiro;CNPJ;Vendedor;Material;Texto breve do produto; Quantidade;UM;Endereço;Cidade;Rg;CEP;Data doc.;Nº NF;     Líquido;   Peso bruto;Un.;Valor total
5857754;Edimara Rodrigues De Souza EIRELI;29.271.729/0001-84;701;11320367;BATON Bastao Choc Leite 32(30x16g)XW;-1;EXB;Av Mutum 877, W Sala 01;Nova Mutum;MT;78450-000;02.03.2020;57360;-0,48;-0,502;KG;-21,72
2983583;M Cleidimare P Fochi ME;01.988.187/0001-46;101;12365150;GAROTO Bisc Rech Choc 70x130g BR;-5;UNI;Av Londrina 230;Juina;MT;78320-000;02.03.2020;57363;-0,65;-0,6575;KG;-9,99
2983583;M Cleidimare P Fochi ME;01.988.187/0001-46;101;12365129;GAROTO Bisc Rech Choc Branco 70x130g BR;-5;UNI;Av Londrina 230;Juina;MT;78320-000;02.03.2020;57363;-0,65;-0,6575;KG;-9,99
2983583;M Cleidimare P Fochi ME;01.988.187/0001-46;101;12313896;BATON Bastao Rech Morango 32(30x16g) BR;-2;EXB;Av Londrina 230;Juina;MT;78320-000;02.03.2020;57364;-0,96;-1,004;KG;-43,46
6088857;Mercado Kaue Ltda;28.593.679/0001-99;502;11320367;BATON Bastao Choc Leite 32(30x16g)XW;-1;EXB;R Graciliano Ramos 323, Q10 L4 B2;Sorriso;MT;78890-000;02.03.2020;57365;-0,48;-0,502;KG;-22,91
6088857;Mercado Kaue Ltda;28.593.679/0001-99;502;11320331;BATON Bastao Choc Branco 32(30x16g)XW;-1;EXB;R Graciliano Ramos 323, Q10 L4 B2;Sorriso;MT;78890-000;02.03.2020;57365;-0,48;-0,50216;KG;-22,91
4769742;J F Dias E Cia Ltda;21.120.391/0001-58;402;11320367;BATON Bastao Choc Leite 32(30x16g)XW;-266;EXB;R Teotonio Viela 198, Predio;Peixoto De Azevedo;MT;78530-000;02.03.2020;57366;-127,68;-133,532;KG;-5.667,82
4769742;J F Dias E Cia Ltda;21.120.391/0001-58;402;11320367;BATON Bastao Choc Leite 32(30x16g)XW;-20;UNI;R Teotonio Viela 198, Predio;Peixoto De Azevedo;MT;78530-000;02.03.2020;57366;-0,32;-0,32544;KG;-14,16
4769742;J F Dias E Cia Ltda;21.120.391/0001-58;402;12155337;BATON Bastao Duo 32(30x16g) XW;-1;EXB;R Teotonio Viela 198, Predio;Peixoto De Azevedo;MT;78530-000;02.03.2020;57366;-0,48;-0,502;KG;-21,31
4769742;J F Dias E Cia Ltda;21.120.391/0001-58;402;12214154;GAROTO CARIBE Candybar 8(30x28g) BR;-4;EXB;R Teotonio Viela 198, Predio;Peixoto De Azevedo;MT;78530-000;02.03.2020;57366;-3,36;-3,52;KG;-138,89
4769742;J F Dias E Cia Ltda;21.120.391/0001-58;402;12415774;GAROTO Caixa Bombons Sortidos 30x250g BR;-1.080,00;UNI;R Teotonio Viela 198, Predio;Peixoto De Azevedo;MT;78530-000;02.03.2020;57366;-270;-318,6;KG;-8.701,55
4769742;J F Dias E Cia Ltda;21.120.391/0001-58;402;12416237;SERENATA DE AMOR Bombom Cstn 10x825g XW;-20;UNI;R Teotonio Viela 198, Predio;Peixoto De Azevedo;MT;78530-000;02.03.2020;57366;-16,5;-16,5;KG;-479,78
6074381;R Carvalho De Almeida;30.593.597/0001-96;902;12365129;GAROTO Bisc Rech Choc Branco 70x130g BR;-70;UNI;R Aracaju 222, N Qd 15;Juara;MT;78575-000;02.03.2020;57367;-9,1;-9,205;KG;-126,24
6074381;R Carvalho De Almeida;30.593.597/0001-96;902;12365150;GAROTO Bisc Rech Choc 70x130g BR;-210;UNI;R Aracaju 222, N Qd 15;Juara;MT;78575-000;02.03.2020;57367;-27,3;-27,615;KG;-378,72
5071513;Rui Cavalho de Almeida EPP;02.508.719/0001-63;902;12365150;GAROTO Bisc Rech Choc 70x130g BR;-210;UNI;Av Rio Arinos 2055, S;Juara;MT;78575-000;02.03.2020;57368;-27,3;-27,615;KG;-378,72
5071513;Rui Cavalho de Almeida EPP;02.508.719/0001-63;902;12365129;GAROTO Bisc Rech Choc Branco 70x130g BR;-70;UNI;Av Rio Arinos 2055, S;Juara;MT;78575-000;02.03.2020;57368;-9,1;-9,205;KG;-126,24
5071513;Rui Cavalho de Almeida EPP;02.508.719/0001-63;902;12365128;GAROTO Cookie Gota Choc 52x60g BR;-52;UNI;Av Rio Arinos 2055, S;Juara;MT;78575-000;02.03.2020;57368;-3,12;-3,354;KG;-88,94
4881366;V C A Lira EIRELI;17.764.296/0002-09;123;12415774;GAROTO Caixa Bombons Sortidos 30x250g BR;15.000,00;UNI;Tv Primeira SN, Primeira;Itaituba;PA;68181-220;02.03.2020;57370;3.750;4.425;KG;90.063,95
5961971;J V Simoes Leal;26.937.563/0002-85;123;12415774;GAROTO Caixa Bombons Sortidos 30x250g BR;9.000,00;UNI;R Alto Bonito 1, Miritituba;Itaituba;PA;68191-400;02.03.2020;57372;2.250;2.655;KG;57.126,08
5961971;J V Simoes Leal;26.937.563/0002-85;123;11320331;BATON Bastao Choc Branco 32(30x16g)XW;320;EXB;R Alto Bonito 1, Miritituba;Itaituba;PA;68191-400;02.03.2020;57372;153,6;160,6912;KG;4.580,62
5961971;J V Simoes Leal;26.937.563/0002-85;123;11320367;BATON Bastao Choc Leite 32(30x16g)XW;320;EXB;R Alto Bonito 1, Miritituba;Itaituba;PA;68191-400;02.03.2020;57372;153,6;160,64;KG;4.580,62
5961971;J V Simoes Leal;26.937.563/0002-85;123;12282740;TALENTO ChocBrancoDocedeLeite8(12x90g)BR;16;EXB;R Alto Bonito 1, Miritituba;Itaituba;PA;68191-400;02.03.2020;57372;17,28;18,08;KG;584,96
5961971;J V Simoes Leal;26.937.563/0002-85;123;12311892;TALENTO Tab Leite Avelas 8(12x90g) XW;16;EXB;R Alto Bonito 1, Miritituba;Itaituba;PA;68191-400;02.03.2020;57372;17,28;18,08;KG;584,96
