ID parc.;Nome parceiro;CNPJ;Vendedor;Material;Texto breve do produto; Quantidade;UM;Endereço;Cidade;Rg;CEP;Data doc.;Nº NF;    Líquido;        Bruto;Un.;Valor total
2906414;Planetaria Loja de Convenienci Ltda;08.690.555/0001-14;104;12285127;TALENTO Tab Choc Branco Cer 8(12x90g) XW;1;EXB;Av Gov Julio Campos 1000;Sinop;MT;78552-000;01.06.2020;67974;1,08;1,13;KG;44,37
2906414;Planetaria Loja de Convenienci Ltda;08.690.555/0001-14;104;11320198;TALENTO Tab Leite Cast Para 18(15x25g)XW;1;EXB;Av Gov Julio Campos 1000;Sinop;MT;78552-000;01.06.2020;67975;0,375;0,395276;KG;14,98
2906414;Planetaria Loja de Convenienci Ltda;08.690.555/0001-14;104;11320199;TALENTO Tab Choc Bco Cer 18(15x25g) XW;1;EXB;Av Gov Julio Campos 1000;Sinop;MT;78552-000;01.06.2020;67975;0,375;0,395276;KG;14,98
2906414;Planetaria Loja de Convenienci Ltda;08.690.555/0001-14;104;12416237;SERENATA DE AMOR Wafer Cstn 10x825g XW;1;UNI;Av Gov Julio Campos 1000;Sinop;MT;78552-000;01.06.2020;67975;0,825;0,825;KG;25,92
5266378;Mercado Telles EIRELI;21.734.027/0001-88;104;12365150;GAROTO Bisc Rech Choc 70x130g BR;15;UNI;R Das Hostencias 741;Sinop;MT;78556-134;01.06.2020;67976;1,95;1,9725;KG;28,7
5266378;Mercado Telles EIRELI;21.734.027/0001-88;104;12365129;GAROTO Bisc Rech Choc Branco 70x130g BR;15;UNI;R Das Hostencias 741;Sinop;MT;78556-134;01.06.2020;67976;1,95;1,9725;KG;28,7
5266378;Mercado Telles EIRELI;21.734.027/0001-88;104;12416237;SERENATA DE AMOR Wafer Cstn 10x825g XW;2;UNI;R Das Hostencias 741;Sinop;MT;78556-134;01.06.2020;67977;1,65;1,65;KG;51,84
5266378;Mercado Telles EIRELI;21.734.027/0001-88;104;12415774;GAROTO Caixa Bombons Sortidos 30x250g BR;10;UNI;R Das Hostencias 741;Sinop;MT;78556-134;01.06.2020;67977;2,5;2,95;KG;75,83
5266378;Mercado Telles EIRELI;21.734.027/0001-88;104;12396888;GAROTO Tablete Choc aoLeite 4(14x90g) XW;14;UNI;R Das Hostencias 741;Sinop;MT;78556-134;01.06.2020;67977;1,26;1,2908;KG;46,84
3812914;G G Bucher Farmacia ME;13.540.754/0001-86;105;11322004;GAROTO Pastilha Hortela 24(40x17g) XW;1;EXB;Av das Figueiras 894;Sinop;MT;78550-001;01.06.2020;67978;0,68;0,7116;KG;21,2
