cod_cli;razao;endereco;uf;cidade;bairro;cep;telefone;cnpj;insc;canal;hierarquia
616602;Baba Moca Doces Salgados Ltda;Av Filinto Muller 202;MT;Cuiaba;Popular;78045-410;1;3,19E+11;131591649;5534710;L6 BRNC BK CO Agil Atc
639564;Marmeleiro Auto Posto Ltda;Av Miguel Sutil 11954;MT;Cuiaba;Cidade Verde;78028-400;1;5,08E+12;132107112;5534708;L6 BRNC BK CO Agil Trd e Cnv
655871;L P Ferreira ME;R Duque de Caxias 194;MT;Cuiaba;Alvorada;78070-000;1;3,69E+13;131343807;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
655912;Thor Com Combustiveis e Acessorios;Rodov BR 364 SN, KM 8;MT;Cuiaba;Pascoal Ramos;78098-000;1;3,75E+13;131971719;5534708;L6 BRNC BK CO Agil Trd e Cnv
655917;Morada Auto Posto Ltda;Av Miguel Sutil 200;MT;Cuiaba;Duque de Caxias;78015-100;1;3,75E+13;131878085;5534708;L6 BRNC BK CO Agil Trd e Cnv
716114;Mercadinho Gama Ltda;R A SN;MT;Cuiaba;Nova Conquista;78056-022;1;1,49E+13;131140205;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
751283;Jose Gerso B Chumaer Jr E Cia Ltda;R Sao Luis 267;MT;Cuiaba;Lixeira;78015-285;1;2,42E+12;131807749;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
757549;Ventos N Com Prod Alimenticios Ltda;R Amapa 720;MT;Cuiaba;Morada da Serra II;78028-535;1;2,38E+12;131801635;5534707;L6 BRNC BK CO Agil AS 5
759438;Emboava Dias Com Combustiveis Ltda;Av General Mello 1480;MT;Cuiaba;Campo Velho;78065-290;1;6,25E+12;132696762;5534708;L6 BRNC BK CO Agil Trd e Cnv
918642;Del Moro & Del Moro Ltda;Av Ludovico da Riva N 2920, Setor D;MT;Alta Floresta;Centro;78580-000;1;8,78E+11;130157490;5534707;L6 BRNC BK CO Agil AS 5
918653;Del Moro & Del Moro Ltda;Av Principal 70;MT;Apiacas;Centro;78595-000;1;8,78E+11;130455792;5534707;L6 BRNC BK CO Agil AS 5
918664;Del Moro & Del Moro Ltda;Av Belo Horizonte 94;MT;Sorriso;Centro;78890-000;1;8,78E+11;132035758;5534707;L6 BRNC BK CO Agil AS 5
918676;Del Moro & Del Moro Ltda;Avenida Goias 73 S, S;MT;Lucas do Rio Verde;Centro;78455-000;1;8,78E+11;132104792;5534707;L6 BRNC BK CO Agil AS 5
921368;Irmaos Schroeter Ltda;Avenida Campo Grande 371;MT;Primavera do Leste;Bairro Jardim Riva;78850-000;1;1,51E+13;130016098;5534707;L6 BRNC BK CO Agil AS 5
921451;Superm Cogal Imp E Exp Ltda;R Leonardo Vila Boas 293;MT;Barra Do Garcas;Centro;78600-000;1;1,54E+13;130046132;5534707;L6 BRNC BK CO Agil AS 5
923133;Supermercado e Atacado Saito Ltda;Avenida dos Uirapurus 38, W;MT;Nova Mutum;Centro;78450-000;1;2,47E+13;130574031;5534713;L6 BRNC BK CO Agil Atj
923142;Buffet Leila Malouf Ltda;Rod Arquiteto Helder Candia 2044;MT;Cuiaba;Ribeirao do Lipa;78048-150;1;1,09E+12;131674471;5534710;L6 BRNC BK CO Agil Atc
923201;Darci M Filho ME;Av Papa Urbano 1203;MT;Rondonopolis;Vila Cardoso;78705-000;1;2,47E+13;130613495;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
923202;Irmaos Dalmolin Gen Alim Ltda;Av Juscelino Kubitschek 612;MT;Nobres;Centro;78460-000;1;2,47E+13;130534692;5534707;L6 BRNC BK CO Agil AS 5
923632;Comercial Ramin de Alimentos Ltda;R Piracicaba 1065;MT;Primavera do Leste;Centro;78850-000;1;2,66E+13;131226800;5534707;L6 BRNC BK CO Agil AS 5
923645;Sangaletti Sangaletti & Cia Ltda;Av Otavio De Souza Cruz 441;MT;Sorriso;Centro;78890-000;1;2,68E+13;132081610;5534707;L6 BRNC BK CO Agil AS 5
923646;Sangaletti Sangaletti & Cia Ltda;Av Andre Antonio Maggi 5500;MT;Sinop;Jd Das Violetas;78550-001;1;2,68E+13;132089610;5534707;L6 BRNC BK CO Agil AS 5
925018;Supermercado Miura Ltda;R Porto Carriro 50;MT;Caceres;Centro;78200-000;1;3,37E+13;130947326;5534707;L6 BRNC BK CO Agil AS 5
925577;Comercial Alim Diamante Azul Ltda;Av Mato Grosso 825;MT;Sao Jose Do Rio Claro;Centro;78435-000;1;3,75E+13;131451154;5534707;L6 BRNC BK CO Agil AS 5
928097;Mercantil Astro De Alimentos Ltda;Av Ludovico Da Riva Neto 1950;MT;Alta Floresta;Centro;78580-000;1;1,33E+12;130249106;5534714;L6 BRNC BK CO Agil KA
930307;Maria Beatriz Haeffner Albert ME;R Portugal SN, Q81L5 S RO;MT;Cuiaba;Santa Rosa;78065-450;1;7,04E+13;131469118;5534716;L6 BRNC BK CO Agil Trd e Dms
937745;Fenix Comercio De Alimentos Ltda;Pca Tamoio 98;MT;Jaciara;Centro;78820-000;1;1,84E+12;131747029;5534707;L6 BRNC BK CO Agil AS 5
938152;Dalmolin Sinon e Cia Ltda;R Benedito Moreira SN;MT;Diamantino;Centro;78400-000;1;2,05E+12;131697072;5534707;L6 BRNC BK CO Agil AS 5
941170;Paloma Casonatto Pinto;Av Rio Grande Do Sul 392, S Sl 2;MT;Lucas Do Rio Verde;Centro;78455-000;1;3,25E+12;131887297;5534708;L6 BRNC BK CO Agil Trd e Cnv
941997;Juba Supermercados Ltda;R Marechal Deodoro 605, Esq Pde Ca;MT;Caceres;Centro;78200-000;1;3,55E+12;130347795;5534707;L6 BRNC BK CO Agil AS 5
941998;Juba Supermercados Ltda;Av 23 de Maio Esq Rua Carlos L 1055;MT;Araputanga;Centro;78260-000;1;3,55E+12;131223348;5534707;L6 BRNC BK CO Agil AS 5
941999;Juba Supermercados Ltda;Av Municipal 1292;MT;Pontes E Lacerda;Centro;78250-000;1;3,55E+12;132094274;5534707;L6 BRNC BK CO Agil AS 5
942195;J S Pansiere EPP;Rua Benedito Moreira da Silva SN;MT;Diamantino;Centro;78400-000;1;3,62E+12;131920588;5534707;L6 BRNC BK CO Agil AS 5
942638;Martins & Martins Ltda;R Das Primaveras 3300;MT;Sinop;Centro;78550-001;1;3,79E+12;130944629;5534707;L6 BRNC BK CO Agil AS 5
942639;Martins & Martins Ltda;Av Dos Tarumas 801;MT;Sinop;Setor Residencial Sul;78550-001;1;3,79E+12;131803530;5534707;L6 BRNC BK CO Agil AS 5
942640;Martins E Martins Ltda;Av Das Itaubas 4001;MT;Sinop;Centro;78550-001;1;3,79E+12;131833588;5534707;L6 BRNC BK CO Agil AS 5
942641;Coml Carapa de Secos Molhados Ltda;Av Marechal Rondon 1198, Setor Lest;MT;Colider;Centro;78500-000;1;3,79E+12;130944610;5534707;L6 BRNC BK CO Agil AS 5
953979;Sorriso Supermercados Ltda;Av Natalino Joao Brescansin 220;MT;Sorriso;Centro;78890-000;1;1,50E+13;131161164;5534707;L6 BRNC BK CO Agil AS 5
1022895;Deville Hoteis E Turismo Ltda;Av Isaac Povoas 1000;MT;Cuiaba;Goiabeiras;78005-000;1;8,11E+13;133085791;5534716;L6 BRNC BK CO Agil Trd e Dms
1038518;Coml Carapa de Secos Molhados Ltda;Av Isabel Martins S 269, Setor Nort;MT;Colider;Nossa Sra da Guia;78500-000;1;3,79E+12;133095614;5534707;L6 BRNC BK CO Agil AS 5
1038573;Supermercado Paulista Ltda EPP;R Manoel Correa de Al 60, Qd 6 Lt 4;MT;Varzea Grande;Cristo Rei;78120-000;1;7,11E+12;132891050;5534707;L6 BRNC BK CO Agil AS 5
1038836;Superm Serve Mais Ltda EPP;Av Fernando C da Costa 4530;MT;Cuiaba;Coxipo;78098-000;1;7,37E+12;133026760;5534707;L6 BRNC BK CO Agil AS 5
1067652;Claudimar Demarco ME;Av General Vale 378;MT;Cuiaba;Bandeirantes;78005-000;1;5,13E+12;132102196;5534716;L6 BRNC BK CO Agil Trd e Dms
1112922;Wm Com Generos De Alimenticios Ltda;R Iara SN, Qd 32 L 1;MT;Varzea Grande;Jardim Gloria;78120-000;1;2,65E+13;131227190;5534707;L6 BRNC BK CO Agil AS 5
1142902;Rest Grand Beer Ltda ME;Av Marechal Dutra 1251;MT;Rondonopolis;Centro;78700-110;1;1,37E+12;132758547;5534716;L6 BRNC BK CO Agil Trd e Dms
1144025;R H Distribuidora de Alimentos Ltda;Rua Presidente Castelo Branco 1098;MT;Rondonopolis;Vila Mariana;78730-680;1;3,42E+12;131903179;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
1144147;Sueli Terezinha Machado ME;Rua Seringueira 129;MT;Rondonopolis;Cophalis;78705-000;1;1,59E+13;130543500;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
1144265;Lanches Cafe Cristal Ltda ME;Rua 31 de Dezembro 236;MT;Rondonopolis;Jardim Belo Horizonte;78710-129;1;4,64E+12;132041790;5534708;L6 BRNC BK CO Agil Trd e Cnv
1144960;Goulart e Rabelo Ltda ME;Av Ponce de Arruda 2568;MT;Rondonopolis;Centro;78720-800;1;2,47E+13;130569143;5534716;L6 BRNC BK CO Agil Trd e Dms
1145122;Nates & Aguiar Ltda;Av Barao Do Rio Branco 1072;MT;Rondonopolis;Jardim Residencial Mathias Neves;78716-442;1;3,42E+12;131902229;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
1150125;Walmir Alves Aguiar;Rua Rio Branco 4053;MT;Rondonopolis;Monte Libano;78710-265;1;5,34E+11;131613847;5534707;L6 BRNC BK CO Agil AS 5
1156630;Supermercado Guanabara Ltda;Av Jose Agostinho Neto 849;MT;Rondonopolis;Jardim Serra Dourada;78705-000;1;3,42E+12;131922432;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
1211490;Cirilio Supermercado Ltda EPP;Av Fernando Correa da Co 715, Salao;MT;Pedra Preta;Centro;78795-000;1;5,47E+12;132138921;5534714;L6 BRNC BK CO Agil KA
1302497;Vale Formoso Com Alim Ltda;Av Ministro Joao Al 725, Qd28Lt9e10;MT;Barra do Garcas;Centro;78600-000;1;7,72E+12;133124622;5534707;L6 BRNC BK CO Agil AS 5
1319249;Belo Brasil Supermercado Ltda EPP;Av Brasilia 319;MT;Campo Verde;Centro;78840-000;1;2,96E+12;131860151;5534707;L6 BRNC BK CO Agil AS 5
1338841;Maria de L O Goncalves EPP;Rua Luiz Carlos F dos San 889, Sala;MT;Rondonopolis;Jardim Tropical;78715-000;1;2,82E+12;131850369;5534707;L6 BRNC BK CO Agil AS 5
1367015;V N Dos Santos & Cia Ltda EPP;Rua Pernambuco 806;MT;Pontes E Lacerda;Centro;78250-000;1;5,14E+12;132100258;5534707;L6 BRNC BK CO Agil AS 5
1400626;Favorito Supermercado Ltda;Av Marechal Rondon 1738;MT;Pontes E Lacerda;Centro;78250-000;1;9,54E+11;130211214;5534707;L6 BRNC BK CO Agil AS 5
1855551;Sg Comercio de Alimentos Ltda ME;Avenida Dom Aquino 01;MT;Primavera do Leste;Centro Leste;78850-000;1;7,76E+12;133133613;5534707;L6 BRNC BK CO Agil AS 5
1974581;Distribuid de Doces Sao Joao Ltda;Rua Ari Paes Barreto 365;MT;Varzea Grande;Manga;78120-000;1;3,69E+13;132366444;5534710;L6 BRNC BK CO Agil Atc
2106166;N Bevilacqua Junior EIRELI;Av Gabriel Ferreira 357, Qd5 Lt 5a7;MT;Barra do Garcas;Vl Manoel Carmerino;78600-000;1;5,35E+12;132138956;5534713;L6 BRNC BK CO Agil Atj
2589895;Martins & Martins Ltda;R Alberto Baranjak SN, Loja 7;MT;Sinop;Jardim Santa Monica;78557-746;1;3,79E+12;133540103;5534707;L6 BRNC BK CO Agil AS 5
2749639;Pasqualotto & Pasqualotto Ltda;Av Gabriel Muller SN, Qd09 RT 6E;MT;Juina;Modulo 01;78320-000;1;1,05E+13;133639398;5534713;L6 BRNC BK CO Agil Atj
2800371;Nova Era Comercial Alimentos Ltda;Rua Das Acacias 3988;MT;Comodoro;Centro;78310-000;1;2,66E+13;131247158;5534707;L6 BRNC BK CO Agil AS 5
2802281;Coml Novo Estado Generos Alim Ltda;Avenida Prefeito Valdir Masuti 3253;MT;Comodoro;Centro;78310-000;1;3,75E+13;131442376;5534707;L6 BRNC BK CO Agil AS 5
2846104;Mercado Kochemborguer EIRELI EPP;Rua Paulo Pan 611, Qd 43Lt 24;MT;Sinop;Boa Esperanca;78550-001;1;2,97E+12;131862650;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2846192;J C Andrade Souza CIA Ltda EPP;Rua Alves de Oliveira 53;MT;Varzea Grande;Manga;78120-000;1;2,36E+12;131799673;5534707;L6 BRNC BK CO Agil AS 5
2846445;E Dillmann & Cia Ltda EPP;Av Rio Arinos 798, W;MT;Juara;Centro;78575-000;1;4,67E+12;132041111;5534707;L6 BRNC BK CO Agil AS 5
2846624;Gomes da Silva & Gomes Santana Ltda;Rua Dom Jose Selva 176;MT;Alto Garcas;Centro;78770-000;1;5,30E+12;132116324;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2846813;Longen & Longen Ltda ME;Av Principal SN;MT;Cotriguacu;Agronila dos Pioneilo;78330-000;1;4,99E+12;132077850;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2847223;M A V Miyamoto EPP;Av Brasil 02;MT;Poxoreu;Parque Rodoviario;78800-000;1;1,33E+12;131699377;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2847651;Restaurante & Lanchonete 120 Ltda;Av Rod Br 120 Cuiaba Caceres SN;MT;Caceres;Rodovia;78200-000;1;1,30E+12;130273201;5534716;L6 BRNC BK CO Agil Trd e Dms
2847928;Geller Auto Posto;Av Mato Grosso 999;MT;Lucas do Rio Verde;Cidade Nova;78455-000;1;3,53E+12;131940139;5534708;L6 BRNC BK CO Agil Trd e Cnv
2848015;I F de Carvalho Oliveira;Rua 7 de Setembro SN;MT;Colniza;Centro;78335-000;1;4,29E+12;131998048;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2848033;Antonio Candido;Rua do Cedro SN;MT;Caceres;Caramujo;78200-000;1;5,41E+12;132128136;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2848420;Edmilson Leite de Moraes ME;Av Brasil 779;MT;Paranatinga;Uniao;78870-000;1;2,35E+12;131797735;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2848487;Bege Com Prod Supermercado;Av Brasil 489;MT;Vila Rica;Centro;78645-000;1;2,36E+11;131590170;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2848488;Geovane Stival Lopes EIRELI;Rua 01 197;MT;Vila Rica;Setor Sul;78645-000;1;4,57E+12;132030713;5534707;L6 BRNC BK CO Agil AS 5
2848520;Aguiar Pontes & Pont Sup Serve Mais;Av Centro Oeste 99, Sala;MT;Confresa;Centro;78652-000;1;3,79E+12;131941208;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2848912;J Vieira Nobre;Av Londrina SN;MT;Juina;Nobres;78320-000;1;1,15E+11;131549073;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2850066;Supermercado Santa Rita Ltda;Av das Araras SN;MT;Santa Rita do Trivelato;Centro;78453-000;1;5,68E+12;132237377;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2850317;Supermercado Real Ltda;Av Curimba 1160;MT;Sapezal;Centro;78365-000;1;5,96E+12;132362570;5534707;L6 BRNC BK CO Agil AS 5
2850419;Supermercado Romancini Ltda;Avenida Mato Grosso 1696;MT;Lucas do Rio Verde;Alvorada;78455-000;1;4,13E+12;131976451;5534707;L6 BRNC BK CO Agil AS 5
2851013;Lanch Rest & Borrach Pensao Seca;Av Rod Br 364 SN, Km 300;MT;Jaciara;Rod Br 364;78820-000;1;2,47E+13;130556262;5534716;L6 BRNC BK CO Agil Trd e Dms
