cod_cli;razao;endereco;uf;Cidade;Bairro;CEP;Telefone;cnpj;Insc;cod_canal;hierarquia
616602;Baba Moca Doces Salgados Ltda;Ave Filinto Muller 202;MT;Cuiaba;Goiabeira;78005-000;65 3219001;318787000134;131591649;5534710;L6 BRNC BK CO Agil Atc
639564;Marmeleiro Auto Posto Ltda;Av Miguel Sutil 11954;MT;Cuiaba;Cidade Verde;78028-400;65 36851616;5082661000127;132107112;5534708;L6 BRNC BK CO Agil Trd e Cnv
655871;L P Ferreira ME;R Duque de Caxias 194;MT;Cuiaba;Alvorada;78070-000;65 30255681;36911857000100;131343807;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
655912;Thor Com Combustiveis e Acessorios;Rodov BR 364 SN, KM 8;MT;Cuiaba;Pascoal Ramos;78098-000;65 36672868;37487717000381;131971719;5534708;L6 BRNC BK CO Agil Trd e Cnv
655917;Morada Auto Posto Ltda;Av Miguel Sutil 200;MT;Cuiaba;Duque de Caxias;78015-100;65 33222338;37519949000102;131878085;5534708;L6 BRNC BK CO Agil Trd e Cnv
716114;Mercadinho Gama Ltda;R A SN;MT;Cuiaba;Nova Conquista;78056-022;65 36245269;14942114000165;131140205;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
750778;Cerlei Marlene Weishemer ME;R Afonso Pena 616, B;MT;Cuiaba;Santa Helena;78015-285;65 36215790;33650060000109;131888269;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
751283;Jose Gerso B Chumaer Jr E Cia Ltda;R Sao Luis 267;MT;Cuiaba;Lixeira;78015-285;65 36242484;2423224000131;131807749;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
757549;Ventos N Com Prod Alimenticios Ltda;R Amapa 720;MT;Cuiaba;Morada da Serra II;78028-535;65 36415728;2381883000152;131801635;5534707;L6 BRNC BK CO Agil AS 5
759438;Emboava Dias Com Combustiveis Ltda;Av General Mello 1480;MT;Cuiaba;Campo Velho;78065-290;65 36342122;6248123000122;132696762;5534708;L6 BRNC BK CO Agil Trd e Cnv
918642;Del Moro & Del Moro Ltda;Av Ludovico da Riva N 2920, Setor D;MT;Alta Floresta;Centro;78580-000;66 35127200;877761000126;130157490;5534707;L6 BRNC BK CO Agil AS 5
918653;Del Moro & Del Moro Ltda;Av Principal 70;MT;Apiacas;Centro;78595-000;66 35932100;877761000207;130455792;5534707;L6 BRNC BK CO Agil AS 5
918664;Del Moro & Del Moro Ltda;Av Belo Horizonte 94;MT;Sorriso;Centro;78890-000;66 35455700;877761000479;132035758;5534707;L6 BRNC BK CO Agil AS 5
918676;Del Moro & Del Moro Ltda;Avenida Goias 73 S, S;MT;Lucas do Rio Verde;Centro;78455-000;65 35499200;877761000550;132104792;5534707;L6 BRNC BK CO Agil AS 5
921368;Irmaos Schroeter Ltda;Avenida Campo Grande 371;MT;Primavera do Leste;Bairro Jardim Riva;78850-000;66 34984748;15087034000132;130016098;5534707;L6 BRNC BK CO Agil AS 5
921451;Superm Cogal Imp E Exp Ltda;R Leonardo Vila Boas 293;MT;Barra Do Garcas;Centro;78600-000;66 34011244;15363682000174;130046132;5534707;L6 BRNC BK CO Agil AS 5
923133;Supermercado e Atacado Saito Ltda;Avenida dos Uirapurus 38, W;MT;Nova Mutum;Centro;78450-000;65 33082001;24727471000164;130574031;5534713;L6 BRNC BK CO Agil Atj
923142;Buffet Leila Malouf Ltda;Rod Arquiteto Helder Candia 2044;MT;Cuiaba;Ribeirao do Lipa;78048-150;65 36249711;1087130000176;131674471;5534710;L6 BRNC BK CO Agil Atc
923201;Darci M Filho ME;Av Papa Urbano 1203;MT;Rondonopolis;Vila Cardoso;78705-000;66 34222268;24681959000106;130613495;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
923202;Irmaos Dalmolin Gen Alim Ltda;Av Juscelino Kubitschek 612;MT;Nobres;Centro;78460-000;65 33761113;24711418000175;130534692;5534707;L6 BRNC BK CO Agil AS 5
923632;Comercial Ramin de Alimentos Ltda;R Piracicaba 1065;MT;Primavera do Leste;Centro;78850-000;66 34982047;26572982000180;131226800;5534707;L6 BRNC BK CO Agil AS 5
