COD.;RAZAO;RCA;VENDEDOR;HIERARQUIA;CNPJ
3333457;N M Portela ME;402;AFONSO PEIXOTO;5534707;1296441000145
3266909;V P da Silva e Cia Ltda  ME;402;AFONSO PEIXOTO;5534716;1772863000140
4025261;Gabriela de Brito Malaguti ME;402;AFONSO PEIXOTO;5534706;3338898000109
4338138;J Luiz da Roza & Cia Ltda ME;402;AFONSO PEIXOTO;5534706;4751912000156
2900018;Maristela Stacke ME;402;AFONSO PEIXOTO;5534706;5791048000189
4272239;Casa Lara Com de Alimentos Ltda;402;AFONSO PEIXOTO;5534706;6653345000120
4400398;Economizar C P Farmaceuticos Ltda;402;AFONSO PEIXOTO;5534711;8087667000185
4400505;Economizar C P Farmaceuticos Ltda;402;AFONSO PEIXOTO;5534711;8087667000347
5639604;Utilissima C Variedades EIRELI EPP;402;AFONSO PEIXOTO;5534716;8419120000210
2949794;V B de Oliveira Fidelis Donini;402;AFONSO PEIXOTO;5534716;9619158000119
4437211;Deodato e Diodato Ltda ME;402;AFONSO PEIXOTO;5534706;10514736000131
5867102;Matias Matias Ltda;402;AFONSO PEIXOTO;5534705;10658657000102
5259257;Conveniencia Real Ltda;402;AFONSO PEIXOTO;5534706;11353768000165
4163752;Lucia Palma Tombini Turcatto;402;AFONSO PEIXOTO;5534710;11570055000153
5897153;Eduardo Acacio De Oliveira;402;AFONSO PEIXOTO;5534705;11755978000180
5746105;Silva Oliveira & Cia Ltda;402;AFONSO PEIXOTO;5534716;11766622000141
5971958;Marcia Felipe Da Silva;402;AFONSO PEIXOTO;5534706;11879595000113
5746115;Francisco Martins Sousa & Cia Ltda;402;AFONSO PEIXOTO;5534716;12057368000175
5156741;Antonia V A Nascimento;402;AFONSO PEIXOTO;5534706;12100560000105
5132847;Silva De Matos & Matos Ltda ME;402;AFONSO PEIXOTO;5534706;12160930000191
5746106;Elizeu Silveira;402;AFONSO PEIXOTO;5534716;12671208000111
3829737;Vilma Saraiva da Silva Borges ME;402;AFONSO PEIXOTO;5534716;13212039000114
4027425;Tottene E Goncalves Taveira S Ltda;402;AFONSO PEIXOTO;5534706;13296873000135
5132848;Jose A C Sousa;402;AFONSO PEIXOTO;5534706;13320504000130
4029985;Nelci Maria Hahnn;402;AFONSO PEIXOTO;5534706;13390938000107
4025186;Vilson Eli ME;402;AFONSO PEIXOTO;5534706;13759947000122
5169975;Antonio Dantas Da Costa ME;402;AFONSO PEIXOTO;5534707;15349566000109
5199641;Railde Costa Silva;402;AFONSO PEIXOTO;5534705;15466110000110
5746126;A C P Da Silva;402;AFONSO PEIXOTO;5534716;16974392000120
5809677;A C P Da Silva;402;AFONSO PEIXOTO;5534711;16974392000200
4637722;Mercado Freitas Ltda ME;402;AFONSO PEIXOTO;5534706;17035744000144
5897165;Hotel E Pousada Pontual Ltda;402;AFONSO PEIXOTO;5534716;17338355000198
5824047;Aparecida Queiroz De Macedo;402;AFONSO PEIXOTO;5534716;17431597000121
5376380;Marcia Soares Da Silva ME;402;AFONSO PEIXOTO;5534706;18236698000104
5266735;Carlos Goncalves Freitas ME;402;AFONSO PEIXOTO;5534706;19725131000164
5850302;Araujo Araujo Junior & Feitosa Ltda;402;AFONSO PEIXOTO;5534711;20330018000169
5202765;Maria Neuda Rodrigues;402;AFONSO PEIXOTO;5534706;20707383000140
5824041;Francisco De Souza Pereira;402;AFONSO PEIXOTO;5534706;20768228000133
5156742;R Caldeira Conveniencia Me;402;AFONSO PEIXOTO;5534706;21029307000195
5867103;Adriana Lucia Dos Santos;402;AFONSO PEIXOTO;5534705;21048367000155
4769742;J F Dias e Cia Ltda;402;AFONSO PEIXOTO;5534707;21120391000158
5099042;Ediane de Oliveira ME;402;AFONSO PEIXOTO;5534706;21458238000135
5746125;MS Mena;402;AFONSO PEIXOTO;5534716;21574282000100
4892751;Dhara L R Nascimento;402;AFONSO PEIXOTO;5534706;21938593000101
5847735;Nedia Ribeiro Reis Da Silva;402;AFONSO PEIXOTO;5534716;22400985000185
5156562;Pavore e Silva Ltda ME;402;AFONSO PEIXOTO;5534706;22985387000115
5824039;Gedeilde Mesquita Moura;402;AFONSO PEIXOTO;5534705;23196625000176
5850301;M F Gurgel Araujo;402;AFONSO PEIXOTO;5534711;23585408000178
5202756;Braun Pinto E Cia Ltda ME;402;AFONSO PEIXOTO;5534706;24797593000127
6011343;Larissa Xavier Reis;402;AFONSO PEIXOTO;5534705;24997692000152
5746099;Queila De Macedo Rezende Da Silva;402;AFONSO PEIXOTO;5534716;25461927000150
5867057;Nilson Dos Santos;402;AFONSO PEIXOTO;5534705;26009748000149
5876858;H R Alves;402;AFONSO PEIXOTO;5534705;26149124000127
6026771;Lenice De Andrade Fidelis;402;AFONSO PEIXOTO;5534705;26604944000161
5686606;Zoraia Morais Martins Nascimento;402;AFONSO PEIXOTO;5534705;26743874000122
5995047;Judite Magalhaes Dos Santos;402;AFONSO PEIXOTO;5534716;26996625000149
